url,appellation,verbaleDating,processedDating,ID
https://www.deckenmalerei.eu/bdd9acfe-15aa-44f6-8320-68f80a91aa92,Die „Neuen Zimmer“ Herzog Carl Eugens in der Attika des Neuen Corps de logis,1757-1759,,bdd9acfe-15aa-44f6-8320-68f80a91aa92
https://www.deckenmalerei.eu/c1862416-8c4e-466d-abac-746d4e463537,Appartement des Erbprinzen Friedrich Ludwig,1725-1733,,c1862416-8c4e-466d-abac-746d4e463537
https://www.deckenmalerei.eu/f507dc7b-dff9-4f11-be74-39153f8e4726,Appartement der Erbprinzessin Henriette Marie,1725-1733,,f507dc7b-dff9-4f11-be74-39153f8e4726
https://www.deckenmalerei.eu/10e02819-7dd2-464d-98c6-8eaf2ecb8fd2,Nördliches Appartement entlang der Feldseite,,,10e02819-7dd2-464d-98c6-8eaf2ecb8fd2
https://www.deckenmalerei.eu/490669ae-c432-4c0e-a957-ae921a055782,Südliches Appartement entlang der Hofseite,,,490669ae-c432-4c0e-a957-ae921a055782
https://www.deckenmalerei.eu/79a0edac-c253-4ff3-b086-093ef7ae38ac,Erschließungsraumfolge,,,79a0edac-c253-4ff3-b086-093ef7ae38ac
https://www.deckenmalerei.eu/7e24b036-4f40-4dfb-ad85-0c66f7938614,Die vier Eckkabinette und ihre Dekoration,1716,1716,7e24b036-4f40-4dfb-ad85-0c66f7938614
https://www.deckenmalerei.eu/1e59e880-d4d0-4ac6-8ad6-fa6112afdce9,Gästeappartement im Erdgeschoss des Alten Corps de logis,1706-1709,,1e59e880-d4d0-4ac6-8ad6-fa6112afdce9
https://www.deckenmalerei.eu/21ce9306-6294-4964-a4ac-6d029e997d86,Appartement des Jagdordens / Gästeappartement,1706-1710,,21ce9306-6294-4964-a4ac-6d029e997d86
https://www.deckenmalerei.eu/6a62dbb6-53b5-4299-9f08-5bbebae7fb3e,Wohnappartement Herzog Eberhard Ludwigs im Erdgeschoss des Alten Corps de logis,1706-1709,,6a62dbb6-53b5-4299-9f08-5bbebae7fb3e
https://www.deckenmalerei.eu/7d2dd492-0605-4a04-830d-2588a113d706,Audienzappartement Herzog Eberhard Ludwigs,1706-1709,,7d2dd492-0605-4a04-830d-2588a113d706
https://www.deckenmalerei.eu/b693397b-aa7f-415f-8539-c825ebe7e812,Erschließungsraumfolge,1706-1710,,b693397b-aa7f-415f-8539-c825ebe7e812
https://www.deckenmalerei.eu/1e753f38-b730-4a53-bd23-a8884f06b2f7,Gästeappartement im Erdgeschoss des Riesenbaus zur Rechten,1712-1713,,1e753f38-b730-4a53-bd23-a8884f06b2f7
https://www.deckenmalerei.eu/7cfe4801-afbf-4091-bd12-aa37e5dfa165,Gästeappartement im Piano nobile des Riesenbaus rechter Hand des Saals,,,7cfe4801-afbf-4091-bd12-aa37e5dfa165
https://www.deckenmalerei.eu/8b473a34-6c22-48bc-8f1d-29e85e9c1194,Erschließungsraumfolge,1712-1713,,8b473a34-6c22-48bc-8f1d-29e85e9c1194
https://www.deckenmalerei.eu/e4068e50-497b-4fb6-bda6-7e14711606ee,Die Mittelachse - Erschließungsraumsfolge mit Vestibül und Kuppelsaal,1756-1770,,e4068e50-497b-4fb6-bda6-7e14711606ee
https://www.deckenmalerei.eu/a05a2b57-294a-4cca-a2b7-a4929421a4be,Lage des Kleinen Rathaussaals innerhalb des Gebäudes,1616–1622,,a05a2b57-294a-4cca-a2b7-a4929421a4be
https://www.deckenmalerei.eu/43e8a538-6c33-4fde-8b4b-befd8b86d3ce,Räume im ersten Obergeschoss,1760-1762,,43e8a538-6c33-4fde-8b4b-befd8b86d3ce
https://www.deckenmalerei.eu/0c6cd3ed-7919-47fe-88e6-8bf300282b55,Das Appartement im ersten Obergeschoss des Ostflügels,1690-1702,,0c6cd3ed-7919-47fe-88e6-8bf300282b55
https://www.deckenmalerei.eu/71c613a3-8623-46ba-ae2b-78538af98bf2,Das Paradeappartement im zweiten Obergeschoss des Ostflügels,1690-1700,,71c613a3-8623-46ba-ae2b-78538af98bf2
https://www.deckenmalerei.eu/9a0bd85c-222d-4e2c-91c1-b12a4bbafe3f,Die landesherrlichen Appartements im ersten Obergeschoss des Südflügels,"1690-1702, 1730",,9a0bd85c-222d-4e2c-91c1-b12a4bbafe3f
https://www.deckenmalerei.eu/0a5bd7e5-426d-4192-9f2b-2c8c5ab746f2,Das Obergeschoss,1794-1795,,0a5bd7e5-426d-4192-9f2b-2c8c5ab746f2
https://www.deckenmalerei.eu/ac9ab28a-fba3-4baf-939c-2a72f8eba77a,Erdgeschoss,1794-1795,,ac9ab28a-fba3-4baf-939c-2a72f8eba77a
https://www.deckenmalerei.eu/1849cbbb-3d4e-4b20-b85e-58c5c2b20a81,Kurfürstliches Appartement,,,1849cbbb-3d4e-4b20-b85e-58c5c2b20a81
https://www.deckenmalerei.eu/18584b38-8829-46df-bd23-c5d0cd9f7855,Wohnung des Kurfürsten Philipp Christoph von Sötern,,,18584b38-8829-46df-bd23-c5d0cd9f7855
https://www.deckenmalerei.eu/276a65c0-06c5-40e1-bd93-c4fa4c218cc6,Barocke Erschließung,1720/30,,276a65c0-06c5-40e1-bd93-c4fa4c218cc6
https://www.deckenmalerei.eu/78a09827-11eb-422b-925e-43adfe6611d1,Appartement im ersten Obergeschoss entlang der Ringleinsgasse mit zwei Deckengemälden,um 1725,1725,78a09827-11eb-422b-925e-43adfe6611d1
