url,appellation,verbaleDating,processedDating,addressState,addressLocality,addressZip,addressStreet,wikishootme,locationLng,locationLat,ID
https://www.deckenmalerei.eu/6b1f1ef2-da2e-4f2b-be81-dea27ce15156,"Stralsund, Katharinenberg 14",,,Mecklenburg-Vorpommern,Stralsund,18439,Katharinenberg 14,https://wikishootme.toolforge.org/#lat=54.312119&lng=13.0874107&zoom=18,13.0874107,54.312119,6b1f1ef2-da2e-4f2b-be81-dea27ce15156
https://www.deckenmalerei.eu/bfc13db5-e23e-4b5f-a40f-5244b0f842fc,"Stade, Haus Bungenstraße 2",,,Niedersachsen,Stade,21682,Bungenstraße 2,https://wikishootme.toolforge.org/#lat=53.603274609773344&lng=9.475541710853578&zoom=18,9.475541710853578,53.603274609773344,bfc13db5-e23e-4b5f-a40f-5244b0f842fc
https://www.deckenmalerei.eu/cd147842-a846-40cb-9e4f-6a0214253cc0,"Oberweikertshofen, Pfarrkirche St. Johannes der Täufer","2. Hälfte 15. Jh., 1. Hälfte 18. Jh., 1778 1918/19",,Bayern,Egenhofen,82281,Gartenstraße 3,https://wikishootme.toolforge.org/#lat=48.264605404166225&lng=11.182000741572239&zoom=18,11.182000741572239,48.264605404166225,cd147842-a846-40cb-9e4f-6a0214253cc0
https://www.deckenmalerei.eu/a4297cc3-be24-4f64-8e0b-3c7fff51c7ef,"Bauerbach, Filialkirche St. Leonhard","1548, 1709",,Bayern,Wielenbach,82407,Dorfstraße 3,https://wikishootme.toolforge.org/#lat=47.85994401359749&lng=11.230929503858194&zoom=18,11.230929503858194,47.85994401359749,a4297cc3-be24-4f64-8e0b-3c7fff51c7ef
https://www.deckenmalerei.eu/cf3ef344-c6b0-4f33-8fc3-dd291315ddde,"Lüneburg, Haus Am Markt 3",,,Niedersachsen,Lüneburg,21335,Am Markt 3,https://wikishootme.toolforge.org/#lat=53.2498798653913&lng=10.4080548153272&zoom=18,10.4080548153272,53.2498798653913,cf3ef344-c6b0-4f33-8fc3-dd291315ddde
https://www.deckenmalerei.eu/a243f7bc-091c-4d4c-a6aa-3135d08067a2,"Erlangen, Haus Göckel, heute Leimbergerhaus",1713,1713,Bayern,Erlangen,91054,Friedrichstraße 9,https://wikishootme.toolforge.org/#lat=49.595388700160235&lng=11.006015533515475&zoom=18,11.006015533515475,49.595388700160235,a243f7bc-091c-4d4c-a6aa-3135d08067a2
https://www.deckenmalerei.eu/d6598c80-7b40-4e35-80ac-638af2268ad3,"Heilbad Heiligenstadt, Café Central",,,Thüringen,Heilbad Heiligenstadt,37308,Wilhelmstraße 37,https://wikishootme.toolforge.org/#lat=51.3774919&lng=10.1359849&zoom=18,10.1359849,51.3774919,d6598c80-7b40-4e35-80ac-638af2268ad3
https://www.deckenmalerei.eu/f8b0067b-bfdb-47d3-935e-85f6c1ff8dd8,"Kassel, ehem. Jägerhaus",1686,1686,Hessen,Kassel,34125,Mühlengasse,https://wikishootme.toolforge.org/#lat=51.31494252772597&lng=9.50763677279195&zoom=18,9.50763677279195,51.31494252772597,f8b0067b-bfdb-47d3-935e-85f6c1ff8dd8
https://www.deckenmalerei.eu/f0e530d6-4b23-497b-864f-7c02aba6fd1a,"Siegertshofen, Kapelle St. Elisabeth","spätgotisch, 1797",,Bayern,Egling,82544,Eichenweg 4,https://wikishootme.toolforge.org/#lat=47.889010444359315&lng=11.522952332886694&zoom=18,11.522952332886694,47.889010444359315,f0e530d6-4b23-497b-864f-7c02aba6fd1a
https://www.deckenmalerei.eu/c5015188-9d2c-4b7c-833b-ae2d6edd05c1,"Wall, Pfarrkirche St. Margareta","16. Jahrhundert, 18. Jahrhundert",,Bayern,Warngau,83627,Sankt Margarethenweg 4,https://wikishootme.toolforge.org/#lat=47.78911322450345&lng=11.772483516238474&zoom=18,11.772483516238474,47.78911322450345,c5015188-9d2c-4b7c-833b-ae2d6edd05c1
https://www.deckenmalerei.eu/c66af656-8dc6-477c-b126-7adcdc721eba,"Kiel, ehem. Gasthof Stadt Kopenhagen",1550-1600,,Schleswig-Holstein,Kiel,24103,Schuhmacherstraße 24,https://wikishootme.toolforge.org/#lat=54.32211969999999&lng=10.1410777&zoom=18,10.1410777,54.32211969999999,c66af656-8dc6-477c-b126-7adcdc721eba
