url,appellation,verbaleDating,processedDating,ID
https://www.deckenmalerei.eu/7bde3355-6f7d-4e8c-bed9-86f816bdf323,Das Treppenhaus,1685-1695,,7bde3355-6f7d-4e8c-bed9-86f816bdf323
https://www.deckenmalerei.eu/8a05485f-9549-401f-8ff5-f801492f05f9,Das Schlafzimmer in der so genannten Weimarischen Wohnung,1685-1695,,8a05485f-9549-401f-8ff5-f801492f05f9
https://www.deckenmalerei.eu/992d2b05-3097-4b91-8f33-ed1d62a77c6d,Der Vorsaal im ersten Obergeschoss,1685-1695,,992d2b05-3097-4b91-8f33-ed1d62a77c6d
https://www.deckenmalerei.eu/ce5605e2-dc33-4b34-b96d-7b14ee52ca38,Die Schlosskirche,1705,1705,ce5605e2-dc33-4b34-b96d-7b14ee52ca38
https://www.deckenmalerei.eu/fae21943-9a57-4485-9c02-451792b2ea3f,Vorsaal in der so genannten Weimarischen Wohnung,,,fae21943-9a57-4485-9c02-451792b2ea3f
https://www.deckenmalerei.eu/017a20e9-84fd-4300-ab42-d5867799623e,Das Innere der Schlosskirche,"1162, 1323, 1380, 1656-1665, 1698-1704, 1713-1716. 1836, 1846-1850, 1950",,017a20e9-84fd-4300-ab42-d5867799623e
https://www.deckenmalerei.eu/39c71dbd-6ab6-41b7-bbdf-13d5b5d43282,Das Treppenhaus,,,39c71dbd-6ab6-41b7-bbdf-13d5b5d43282
https://www.deckenmalerei.eu/7a15b8d9-3530-41f6-97b0-359720c4d842,Der sog. Theatersaal,,,7a15b8d9-3530-41f6-97b0-359720c4d842
https://www.deckenmalerei.eu/92455d4f-66c1-4b46-b74c-f4da78de092d,Seminarkapelle,1716,1716,92455d4f-66c1-4b46-b74c-f4da78de092d
https://www.deckenmalerei.eu/529ca047-5c98-4476-8163-0560d4b7c73d,Langhaus,1730-1733,,529ca047-5c98-4476-8163-0560d4b7c73d
https://www.deckenmalerei.eu/c3dfb004-16be-4b3c-91ae-369c3bc1d32d,Chor,1730-1733,,c3dfb004-16be-4b3c-91ae-369c3bc1d32d
https://www.deckenmalerei.eu/df1e274b-b7e7-4e59-8799-1d6a6fca6eaa,Raum im 1. Obergeschoss,um 1705,1705,df1e274b-b7e7-4e59-8799-1d6a6fca6eaa
https://www.deckenmalerei.eu/5485fa5f-c895-4c49-8f90-540dfc02b5bf,Der westliche Raum im ersten Obergeschoss,1590-1600,,5485fa5f-c895-4c49-8f90-540dfc02b5bf
https://www.deckenmalerei.eu/c5df9e7b-fa5c-44a0-a174-472951a3f62b,Der große Saal im zweiten Obergeschoss,1590-1600,,c5df9e7b-fa5c-44a0-a174-472951a3f62b
